59	Kappa Alpha Theta 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
60	Kappa Kappa Gamma 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
61	Kappa Sigma 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
62	K-Pop Dance Club	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
63	La Minaudiere	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
64	Lambda Phi Epsilon 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
65	Mellon FIT	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
66	Moneythink CMU	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
67	Moot Court	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
68	Omega Phi Beta	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
69	Order of Omega 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
70	Outreach360 at CMU	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
71	Partners in Speculative Fiction	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
72	Phi Delta Theta	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
73	Pi Kappa Alpha 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
74	Project Smile	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
75	Public Communication for Researchers	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
76	Puzzlehunt CMU	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
77	Rho Lambda 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
78	Rumi Dialogue Club	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
79	Saans A Cappella	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
80	Scottie Ventures	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
81	ScottyLabs	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
82	Sigma Alpha Epsilon 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
83	Sigma Chi 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
84	Sigma Nu 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
85	Sigma Phi Epsilon 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
86	Sigma Tau Gamma 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
87	Society for Biomaterials	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
88	Society for Industrial and Applied Mathematics Student Chapter	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
89	Society of Asian Scientists and Engineers	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
90	Storytelling Club	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
91	Students for Deliberative Democracy	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
92	Teknowledge	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
93	Tepper Finance Group	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
94	Thai Students Association 	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
95	The HUB	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
96	Treblemakers	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
97	Undergraduate Business Technology Club	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
98	University Health Services	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
99	Women in Science	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
100	Women's Club Volleyball	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
101	Women's Ultimate Frisbee Club	t	2016-12-07 13:19:51.904036	2016-12-07 13:19:51.904036
